,bioproject,sra_rec,sra_file_kind,sra_file_blob
14,PRJNA545410,8010002,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203173"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008987/SRR9203173"", ""size"": ""36157288"", ""date"": ""2019-06-05 10:07:00"", ""md5"": ""cfd3bc6ab81d352c24f75642fe86dda1"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
15,PRJNA545410,8010001,read_1,"{""cluster"": ""public"", ""filename"": ""120_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203174/120_R1.fastq.gz.1"", ""size"": ""15527281"", ""date"": ""2019-06-05 10:06:51"", ""md5"": ""277eeab7454b2a1c3d3ca101086cf302"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
16,PRJNA545410,8010001,read_2,"{""cluster"": ""public"", ""filename"": ""120_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203174/120_R2.fastq.gz.1"", ""size"": ""18916281"", ""date"": ""2019-06-05 10:06:52"", ""md5"": ""8e5d3fcb0f686b6fecbf5c87c1dbbeb6"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
17,PRJNA545410,8010001,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203174"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/008987/SRR9203174"", ""size"": ""40957765"", ""date"": ""2019-06-05 10:06:59"", ""md5"": ""805c0341b0f8d20e477798dbef9aee13"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
18,PRJNA545410,8010000,read_1,"{""cluster"": ""public"", ""filename"": ""121_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203175/121_R1.fastq.gz.1"", ""size"": ""13868544"", ""date"": ""2019-06-05 10:06:53"", ""md5"": ""586ad0e3ad31b91252072e846a6ec26b"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
19,PRJNA545410,8010000,read_2,"{""cluster"": ""public"", ""filename"": ""121_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203175/121_R2.fastq.gz.1"", ""size"": ""15952963"", ""date"": ""2019-06-05 10:06:52"", ""md5"": ""50df8b253e4ad2dc9bcd7328570a0a56"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
20,PRJNA545410,8010000,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203175"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra6/SRR/008987/SRR9203175"", ""size"": ""35285111"", ""date"": ""2019-06-05 10:07:02"", ""md5"": ""cab3f8b9afd84e882a71e4ce2cf2d9d4"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
21,PRJNA545410,8009999,read_1,"{""cluster"": ""public"", ""filename"": ""122_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203176/122_R1.fastq.gz.1"", ""size"": ""10623698"", ""date"": ""2019-06-05 10:06:52"", ""md5"": ""04d0bdfd0f66cc578750d2bdeafbeb86"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
22,PRJNA545410,8009999,read_2,"{""cluster"": ""public"", ""filename"": ""122_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203176/122_R2.fastq.gz.1"", ""size"": ""12525218"", ""date"": ""2019-06-05 10:06:52"", ""md5"": ""a5c54c4a73812edea6f627faf8abd6df"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
23,PRJNA545410,8009999,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203176"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008987/SRR9203176"", ""size"": ""27717789"", ""date"": ""2019-06-05 10:06:59"", ""md5"": ""b9119e16c8d17452d7df467e9641c35e"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
